mac,mac_vendor,mac_vendor_address,mac_vendor_address2,mac_vendor_country
"dc:1d:9f*","U & B tech","2F, Daeyoung buliding, 1423-6, Kwanyang-1Dong,","Anyang-Si  Gyeonggi-Do  431-061","KR"
"40:2b:a1*","Sony Ericsson Mobile Communications AB","Nya Vattentornet","Lund  SE  221 88","SE"
"08:16:51*","SHENZHEN SEA STAR TECHNOLOGY CO.,LTD","Seastar industrial Park, BaoLong  6th Ave","ShenZhen  GuangDong  518116","CN"
"dc:49:c9*","CASCO SIGNAL LTD","No.489 Xizang Bei Road","Shanghai    200071","CN"
"ec:c8:82*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"a0:b9:ed*","Skytap","710 2nd Ave Suite 1130","Seattle  WA  98104","US"
"fc:44:63*","Universal Audio, Inc","4585 Scotts Valley Dr.","Scotts Valley  CA  95066","US"
"f0:68:53*","Integrated Corporation","3/F, Shun On Commercial Bldg., ","Cetnral,    ","HK"
"10:e6:ae*","Source Technologies, LLC","2910 Whitehall Park Drive","Charlotte  NC  28273","US"
"a4:ad:b8*","Vitec Group, Camera Dynamics Ltd","William Vinten Building","Bury St Edmunds  Suffolk  IP33 3TB","GB"
"90:a2:da*","GHEO SA","Via Soldini, 22","Chiasso    CH-6830","CH"
"c4:1e:ce*","HMI Sources Ltd.","5 Floor, Suite 2, 233 Hsin Yi Road, Section 4","Taipei    10681","TW"
"b0:91:34*","Taleo","4140 Dublin Blvd","Dublin  California  94568","US"
"a8:63:df*","DISPLAIRE CORPORATION","1300 Valley House Dr, Ste 100","Rohnert Park  CA  94928","US"
"10:43:69*","Soundmax Electronic Limited ","Room#1505, Oriental plaza, #1072 JianShe Road","SHENZHEN   Guangdong  518001","CN"
"c0:6c:0f*","Dobbs Stanford","2715 Electronic Lane","Dallas  Texas  75220","US"
"50:2d:f4*","Phytec Messtechnik GmbH","Robert-Koch-Straße 39","Mainz  Rheinland-Pfalz  55129","DE"
"38:e8:df*","b gmbh medien + datenbanken","Kurfuerstenstrasse 22","Ludwigsburg  BW  71636","DE"
"10:18:9e*","Elmo Motion Control","64 Gisin St.","Petach Tikva    49103","IL"
"8c:a9:82*","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"88:fd:15*","LINEEYE CO., LTD","5F Marufuku Bldg. 39-1 Karahashi","Kyoto    601-8468","JP"
"f8:8d:ef*","Tenebraex","27 Drydock Avenue","Boston  MA  02210","US"
"ec:43:e6*","AWCER Ltd.","100-413 Bucheon Technopark","Bucheon-city  Gyeonggi-do  421-741","KR"
"b8:ac:6f*","Dell Inc","One Dell Way,  MS RR5-45","Round Rock  Texas  78682","US"
"f0:ec:39*","Essec","Schoebroekstraat 48","Paal  Limburg  3583","BE"
"58:49:ba*","Chitai Electronic Corp.","5F., No. 1 Lane 123, Pao-Chung Rd., Hsin-Tien City ","Taiepi    23144","TW"
"18:17:14*","DAEWOOIS","7F Namkwang Centlex Bldg. 440-4 Cheongcheon2-dong ","Incheon  Pupyeong-gu  82","KR"
"80:b2:89*","Forworld Electronics Ltd.","No.16 Keyuan 2nd Rd., Situn District","Taichung City    886","TW"
"bc:d5:b6*","d2d technologies","10611 roundwood glen ct","Jacksonville  Fl  32256","US"
"1c:8f:8a*","Phase Motion Control SpA","via Adamoli, 461","Genova    IT16141","IT"
"a4:b1:ee*","H. ZANDER GmbH & Co. KG","Am Gut Wolf 15","Aachen    52070","DE"
"48:6f:d2*","StorSimple Inc","2350 Mission College Blvd","Santa Clara  CA  95054","US"
"b4:ed:19*","Pie Digital, Inc.","575 Market st., 8th floor","San Francisco  CA  94105-2823","US"
"88:87:17*","CANON INC.","3-30-2","Ohta-Ku  Tokyo  146-8501","JP"
"e0:27:1a*","TTC Next-generation Home Network System WG","1-1-12 Shiba Kouen","Minato-ku  Tokyo  105-0011","JP"
"84:c7:27*","Gnodal Ltd","178 - 180 Hotwell Road","Bristol    BS8 4RP","GB"
"e4:ab:46*","UAB Selteka","DraugystÃ«s g. 19","Kaunas    LT-51230 ","LT"
"d4:79:c3*","Cameronet GmbH & Co. KG","Elberfelder Strasse 96","Remscheid  NRW  42853","DE"
"94:5b:7e*","TRILOBIT LTDA.","R. ALVARENGA 1377","São Paulo    05509002","BR"
"e8:5b:5b*","LG ELECTRONICS INC","19-1, CHEONGHO-RI, JINWI-MYEON","PYEONGTAEK  GYEONGGI-DO  451-713","KR"
"d4:f1:43*","IPROAD.,Inc","#505 Byuksan digital valley 7, 170-13,","Seoul    152-847","KR"
"cc:54:59*","OnTime Networks AS","Gladsvei 20","Oslo    0489","NO"
"3c:b1:7f*","Wattwatchers Pty Ld","22 Woodbury Rd St. Ives","Sydney  NSW  2075","AU"
"00:db:45*","THAMWAY CO.,LTD.","3-9-2","Fuji  Shizuoka  417-0001","JP"
"a0:23:1b*","TeleComp R&D Corp.","102 SW Orange Blossom","Lake City  Florida  32025","US"
"94:c4:e9*","PowerLayer Microsystems HongKong Limited","23 Zhichun Rd,Liangziyinzuo Rm1009","Beijing    100083","CN"
"88:43:e1*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"a4:ed:4e*","ARRIS Group, Inc.","3871 Lakefield Drive","Suwanee  GA  30024","US"
"74:f7:26*","Neuron Robotics","91 Pearson Ave","Somerville  MA  02144","US"
"ec:cd:6d*","Allied Telesis, Inc.","3041 Orchard Parkway","San Jose  California  95134","US"
"34:7e:39*","Nokia Danmark A/S","Frederikskaj","Copenhagen V    DK-1790","DK"
"a8:7e:33*","Nokia Danmark A/S","Frederikskaj","Copenhagen V    DK-1790","DK"
"dc:e2:ac*","Lumens Digital Optics Inc.","5F, No.35, Sintai Rd., Jhubei City","Jhubei   HsinChu  302","TW"
"98:d8:8c*","Nortel Networks","CARRETERA BASE AEREA # 5850","Zapopan  Jalisco  44130","MX"
"c8:87:3b*","Net Optics","5303 Betsy Ross Drive","Santa Clara  CA  95054","US"
"6c:be:e9*","Alcatel-Lucent-IPD","701 E. Middlefield Rd.","Mountain View  CA  94043","US"
"b0:e9:7e*","Advanced Micro Peripherals","Unit 1 Harrier House","Witchford  Cambridgeshire  CB6 2HY","GB"
"d4:4c:a7*","Informtekhnika & Communication, LLC","1, build. 2/1, Verhnaya","Moscow    107140","RU"
"10:88:0f*","Daruma Telecomunicações e Informática S.A.","AVENIDA INDEPENDENCIA, 3500, LOTEAMENTO INDUSTRIAL","Taubaté  São Paulo  12032-000","BR"
"40:25:c2*","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"4c:4b:68*","Mobile Device, Inc. ","8F-1, No. 145, Sianjheng 9th Rd., ","Jhubei City,   Hsinchu County   30251","TW"
"c0:22:50*","Private","","",""
"18:01:e3*","Elektrobit Wireless Communications Ltd","Tutkijantie 8","Oulu    90570","FI"
"64:bc:11*","CombiQ AB","Science Park","Jonkoping    553 18","SE"
"40:97:d1*","BK Electronics cc","150 Swaardlelie Ave","Pretoria  Gauteng  0184","ZA"
"68:aa:d2*","DATECS LTD.,","BUL. TSARIGRADSKO SHOSSE 115A","SOFIA    1784","BG"
"68:85:40*","IGI Mobile, Inc.","4F Kyongnam Bldg.,","Seoul    135-080","KR"
"64:65:c0*","Nuvon, Inc","3130 Alpine Road","Portola Valley  California  94028","US"
"f0:de:71*","Shanghai EDO Technologies Co.,Ltd.","Unit 12302, Building 12,498 Guoshoujing Road, Pudong New Area","Shanghai    201203","CN"
"a0:07:98*","Samsung Electronics","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"28:fb:d3*","Ragentek Technology Group","D10/D11，No.3188, Xiupu Road, PuDong District, Shanghai","Shanghai    201703","CN"
"00:27:1b*","Alec Sicherheitssysteme GmbH","Friedrich-Hoelscher-Strasse 367","Dortmund    44328","DE"
"00:27:18*","Suzhou NEW SEAUNION Video Technology Co.,Ltd","383 Jingmao Road, Industry Park","Suzhou  Jiangsu  215021","CN"
"00:27:13*","Universal Global Scientific Industrial Co., Ltd.","141, LANE 351,SEC.1, TAIPING RD.","TSAOTUEN,  NANTOU  54261","TW"
"00:27:0c*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:27:0b*","Adura Technologies","28 Second Street","San Francisco  CA  94105","US"
"00:27:05*","Sectronic","Z.I. Les Saulniers","Sainte-Maure de Touraine    37800","FR"
"00:27:06*","YOISYS","309-52 SUNGSU-2GA, 1DONG, SUNGDONG-GU","SEOUL    133-827","KR"
"00:26:ff*","Research In Motion","440 Phillip Street","Waterloo  Ontario  N2L 5W9","CA"
"00:26:f9*","S.E.M. srl","via Lecco, 61","Vimercate  Monza Brianza  20059","IT"
"7c:1e:b3*","2N TELEKOMUNIKACE a.s.","Modranska 621","Prague    143 01","CZ"
"1c:4b:d6*","AzureWave","8F., No. 94, Baoshong Rd.","Xindian City, Taipei County    231","TW"
"9c:18:74*","Nokia Danmark A/S","Frederikskaj","Copenhagen V    DK-1790V","DK"
"14:6e:0a*","Private","","",""
"20:2c:b7*","Kong Yue Electronics & Information Industry (Xinhui) Ltd.","Kong Yue Industrial Park, 18 Kongyue Road, Jinguzhou","Jiangmen  Guangdong  529141","CN"
"68:cc:9c*","Mine Site Technologies","113 Wicks Road","North Ryde  NSW  2113","AU"
"04:b4:66*","BSP Co., Ltd.","162-10","Gumi  Gyeungsangbuk Do  730-902","KR"
"e4:1f:13*","IBM Corp","3039 E Cornwallis Road","Research Triangle Park  NC  27709-2195","US"
"94:ba:31*","Visiontec da Amazônia Ltda.","Rod. Geraldo Scavone, 2300 - Galpao 27","Jacareí  SP  12305-490","BR"
"f4:5f:f7*","DQ Technology Inc.","5111 Johnson Drive","Pleasanton  CA  94588","US"
"60:f1:3d*","JABLOCOM s.r.o.","V Nivach 12","Jablonec nad Nisou    466 01","CZ"
"10:45:f8*","LNT-Automation GmbH","Hans-Paul-Kaysser-Straße 1","Leutenbach-Nellmersbach  BW  D-71397","DE"
"64:4f:74*","LENUS Co., Ltd.","18-5 Gwacheon-Dong","Gwacheon  Gyeonggi-Do  427-060","KR"
"78:7f:62*","GiK mbH","Goethestraße 5","Aachen    52064","DE"
"d4:aa:ff*","MICRO WORLD ","19370 VAN NESS AVE ","TORRANCE   CA  90501","US"
"c4:fc:e4*","DishTV NZ Ltd","10 Penney Ave","Auckland    1041","NZ"
"b0:c6:9a*","juniper networks","1194 N Mathilda Avenue","sunnyvale  CA  94089","US"
"0c:d7:c2*","Axium Technologies, Inc.","6625 N. Calle Eva Miranda","Irwindale  CA  91702","US"
"40:f5:2e*","Leica Microsystems (Schweiz) AG","Max Schmidheiny-Strasse 201","Heerbrugg  SG  9435","CH"
"38:22:9d*","Pirelli Tyre S.p.A.","VIALE SARCA 222","MILANO    20126","IT"
"d0:d2:86*","Beckman Coulter K.K.","454-32 Higashino,","Nagaizumi-cho, Sunto-gun,  Shizuoka-ken  411-0943","JP"
"1c:0f:cf*","Sypro Optics GmbH","Carl-Zeiss-Promenade 10","Jena  Thuringia  07745","DE"
"00:3d:41*","Hatteland Computer AS","Aamsosen","Nedre Vats  Rogaland  5578","NO"
"08:76:18*","ViE Technologies Sdn. Bhd.","no. 85-A, Lintang Bayan Lepas 11,","Bayan Lepas  Penang  11900","MY"
"a4:ad:00*","Ragsdale Technology","505 Echo Lane","Big Bear Lake  CA  92315","US"
"2c:19:84*","IDN Telecom, Inc.","2669 Great Arbor Way","Union City  CA  94587","US"
"38:63:f6*","3NOD MULTIMEDIA(SHENZHEN)CO.,LTD","F6,Building11,Shenzhen Software Park","Shenzhen  Guangdong  518057","CN"
"60:8d:17*","Sentrus Government Systems Division, Inc","141 Chesterfield Industrial Blvd","Chesterfield  MO  63005-1219","US"
"24:bf:74*","Private","","",""
"80:91:2a*","Lih Rong electronic Enterprise Co., Ltd.","2F, No. 2, Lane 387, Hsin Shu Road","Hsin Chuang  Taipei  242","TW"
"80:38:fd*","LeapFrog Enterprises, Inc.","6401 Holis Street","Emeryville  CA  94608","US"
"70:72:cf*","EdgeCore Networks","20 Mason","Irvine  CA  92618","US"
"c8:aa:cc*","Private","","",""
"80:3b:9a*","ghe-ces electronic ag","Hoemelstraße 17","Wald  ZH  8636","CH"
"9c:cd:82*","CHENG UEI PRECISION INDUSTRY CO.,LTD","No.18, Chung Shan Rd., Tu-Cheng Industry Park ","Tu Cheng City  Taipei Hsien  23680","TW"
"00:8c:fa*","Inventec Corporation","No. 255, Jen-Ho Road Sec. 2, 33547,","Tachi  Taoyuan  33547","TW"
"0c:ef:7c*","AnaCom Inc","1996 Lundy Ave","San Jose  CA  95131","US"
"e0:8f:ec*","REPOTEC CO., LTD.","3F, 258. ","CHUNG HO CITY, TAIPEI COUNTY    235","TW"
"00:26:d3*","Zeno Information System","#1404 A-Dong Digital Empire Bldg, 980-3, Youngtong-dong, Youngtong-gu","Suwon City  Gyeonggi-Do  443-702","KR"
"00:26:d4*","IRCA SpA","Viale Venezia 31 - C.P. 248","San Vendemiano (Treviso)  Italy  31020","IT"
"00:26:cd*","PurpleComm, Inc.","2620 Augustine Dr., Ste. 100","Santa Clara  CA  95054","US"
"00:26:c7*","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"00:26:c1*","ARTRAY CO., LTD.","5F Ueno Bldg, 1-17-5 Kouenjikita,","Tokyo    166-0002","JP"
"00:26:b6*","Askey Computer","10F,NO.119,CHIENKANG RD,CHUNG-HO,TAIPEI,","TAIWAN  TAIPEI  235","TW"
"00:26:b5*","ICOMM Tele Ltd","304, Trendset Towers,","Hyderabad  AP  500034","IN"
"00:26:af*","Duelco A/S","Mommarkvej 5","Soenderborg  Soenderjylland  DK6400","DK"
"00:26:ab*","SEIKO EPSON CORPORATION","3-3-5 OWA","SUWA-SHI  NAGANO-KEN  392-8502","JP"
"00:26:a5*","MICROROBOT.CO.,LTD","167-3 Gungpyeong-ri","Gwangju-si  Gyeonggi-Do  464-881","KR"
"00:26:f3*","SMC Networks","20 Mason","Irvine  CA  92618","US"
"00:26:ec*","Legrand Home Systems, Inc","301 Fulling Mill Rd","Middletown  PA  17057","US"
"00:26:e6*","Visionhitech Co., Ltd.","Vision bldg. 150-3","Buchon  Kyunggi-Do  420-822","KR"
"00:26:e0*","ASITEQ","5F, DONGYOUNG Bldg,382-6,Yatap dong","Sung Nam si  Kyounggi-do  463-827","KR"
"00:26:da*","Universal Media Corporation /Slovakia/ s.r.o.","Mickiewiczova 7104/14","Bratislava    811 07","SK"
"00:25:b0*","Schmartz Inc","2307 Valerian Trl","Round Rock  TX  78665","US"
"00:25:ab*","AIO LCD PC BU / TPV","10F., No., 230, Liancheng Rd.","Zhonghe City  Taipei Taiwan  23553","TW"
"00:25:a4*","EuroDesign embedded technologies GmbH","Waldstratraße 4A","Kirchdorf a.d. Amper  Bayern  85414","DE"
"00:25:9d*","Private","","",""
"00:25:98*","Zhong Shan City Litai Electronic Industrial Co. Ltd","No.3 Industrial District, Wuguishan, Cheng gui Road","Zhong shan City  Guang dong Province  528458","CN"
"00:25:91*","NEXTEK, Inc.","410 Douglass Street","Reading  PA  19601","US"
"00:25:8c*","ESUS ELEKTRONIK SAN. VE DIS. TIC. LTD. STI.","ESENSEHIR MAHALLESI KURKCULER CADDESI","ISTANBUL    34776","TR"
"00:25:3c*","2Wire","1764 Automation Parkway","San Jose  CA  95131","US"
"00:25:35*","Minimax GmbH & Co KG","Industriestrasse 10/12","Bad Oldesloe  SH  23840","DE"
"00:25:32*","Digital Recorders","4018 Patriot Drive","Durham  NC  27709","US"
"00:25:2b*","Stirling Energy Systems","Sandia National Labs - NSTTF","Albuquerque  NM  87185-1127","US"
"00:25:26*","Genuine Technologies Co., Ltd.","Klingelnberg Bldg.","Yokohama  Kanagawa  222-0033","JP"
"00:25:25*","CTERA Networks Ltd.","24 Imber St.","Petach-Tikva    495111","IL"
"00:25:20*","SMA Railway Technology GmbH","Miramstraße 87","Kassel  Hesse  34123","DE"
"00:25:1b*","Philips CareServant","High Tech Campus 27","Eindhoven  Noord-Brabant  5656 AE","NL"
"00:25:16*","Integrated Design Tools, Inc.","1202 E Park Avenue","Tallahassee  FL  32301","US"
"00:25:87*","Vitality, Inc.","One Broadway","Cambridge  MA  02142","US"
"00:25:81*","x-star networks Inc.","1F,NO1-2,Chungching S.Rd.Sec 3","Taipei    10076","TW"
"00:25:82*","Maksat Technologies (P) Ltd","D-10/6, Okhla, Phase-I","New Delhi    110020","IN"
"00:25:78*","JSC Concern Sozvezdie","Plekhanovskaya st., 14","Voronezh    394018","RU"
"00:25:7d*","PointRed Telecom Private Ltd.","15F - 5., No. 1071, Zhongzheng Road,","Taoyuan City 330    330","TW"
"00:25:77*","D-BOX Technologies","2172 de la Province","Longueuil  Quebec  J4G 1R7","CA"
"00:25:71*","Zhejiang Tianle Digital Electric Co.,Ltd","No.8 Tianle Rd,Economic Development Zone","Shengzhou  Zhejiang  312400","CN"
"00:25:6a*","inIT - Institut Industrial IT","Liebigstrasse 87","Lemgo  Northrhine-Westfalia  32657","DE"
"00:25:65*","Vizimax Inc.","2284, rue de la Province","Longueuil  Québec  J4G 1G1","CA"
"00:25:5e*","Shanghai Dare Technologies Co.,Ltd.","22F,Info Tech Building, No.1555,Kongjiang Road,","Shanghai  200092","CN"
"00:26:79*","Euphonic Technologies, Inc.","2-5-10 Shin-yokohama, Kouhoku-ku","Yokohama    222-0033","JP"
"00:26:73*","RICOH COMPANY,LTD.","810 Shimoimaizumi","Ebina-City  Kanagawa-Pref  243-0460","JP"
"00:26:6d*","MobileAccess Networks","8391 Old Courthouse Rd.","Vienna  VA  22182","US"
"00:26:67*","CARECOM CO.,LTD.","3-35-4","Chofu  Tokyo  182-0025","JP"
"00:26:5a*","D-Link Corporation","No.289, Sinhu 3rd Rd.,","Neihu District    114","TW"
"00:26:60*","Logiways","24/26 rue Louis ARMAND","PARIS    75015","FR"
"00:26:56*","Sansonic Electronics USA","9950 Baldwin Place","El Monte  Cailfornia  91731","US"
"00:26:53*","DaySequerra Corporation","154 Cooper Road","West Berlin  NJ  08091","US"
"00:26:4d*","Arcadyan Technology Corporation","4F., No. 9 , Park Avenue II ,","Hsinchu  Taiwan  300","TW"
"00:26:4c*","Shanghai DigiVision Technology Co., Ltd.","No. 333 Guangji Rd.","Shanghai    200083","CN"
"00:26:47*","WFE TECHNOLOGY CORP.","17F NO.238,Chin-Hua N Rd,","Taichung    404","TW"
"00:25:58*","MPEDIA","Shinyoung Tower 12F 246-2","Seongnam  Gyeonggi-do  463-824","KR"
"00:25:57*","Research In Motion","440 Phillip Street","Waterloo  Ontario  N2L 5W9","CA"
"00:25:52*","VXI CORPORATION","One Front Sreet","Rollinsford  NH  03869","US"
"00:25:46*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:25:45*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:26:10*","Apacewave Technologies","48389 Fremont Blvd, STE#100","Fremont  CA  94538","US"
"00:26:09*","Phyllis Co., Ltd.","9th Fl., Room 3/4, No. 52, Sec. 2, Chung Shan North Road,","Taipei    104","TW"
"00:25:fd*","OBR Centrum Techniki Morskiej S.A.","Dickmana 62","Gdynia    81-109","US"
"00:26:03*","Shenzhen Wistar Technology Co., Ltd","Rm919, Science &Technology Service Center","Shenzhen  Guangdong  518000","CN"
"00:25:f3*","Nordwestdeutsche Zählerrevision","Ing. Aug. Knemeyer GmbH & Co. KG","Bad Laer  Niedersachsen  49196","DE"
"00:25:ec*","Humanware","445 rue du Parc Industriel","Longueuil  Québec  J4H 3V7","CA"
"00:25:e7*","Sony Ericsson Mobile Communications","Nya Vattentornet","Lund  Skåne  22188","SE"
"00:25:e2*","Everspring Industry Co., Ltd.","7F., No. 609, Sec 1, Wanshou Rd.,","Gueishan Township  Taoyuan County  333","TW"
"00:25:dd*","SUNNYTEK INFORMATION CO., LTD.","12F, NO. 88, HSIN-TE ROAD","TAIPEI HSIEN    241","TW"
"00:26:42*","ARRIS Group, Inc.","3871 Lakefield Drive","Suwanee  GA  30024","US"
"00:26:3b*","Onbnetech","506, Samsung IT Valley, 197-5","Guro-Gu  Seoul  152-848","KR"
"00:26:35*","Bluetechnix GmbH","Waidhausenstr. 3/19","Vienna    1140","AT"
"00:26:2f*","HAMAMATSU TOA ELECTRONICS","9162-1","HAMAMATSU  SIZUOKA  431-2102","JP"
"00:26:23*","JRD Communication Inc","16/F, TCL Tower, Gaoxin Nanyi Road, Nanshan District","Shenzhen  Guangdong  518057","CN"
"00:26:28*","companytec automação e controle ltda.","Rua Marcilio Dias 3005","Pelotas  Rio Grande do Sul  96020-480","BR"
"00:26:22*","COMPAL INFORMATION (KUNSHAN) CO., LTD.","NO. 25, THE 3RD Street KUNSHAN EXPORT PROCESSING ZONE","KUNSHAN  SUZHOU  215300","CN"
"00:26:1c*","NEOVIA INC.","503 LOTTE IT CASTLE 1DONG,550-1","SEOUL    153-768","KR"
"00:26:15*","Teracom Limited","B-84","Noida  Uttar Pradesh  201301","IN"
"00:26:16*","Rosemount Inc.","8200 Market Boulevard","Chanhassen  MN  55317","US"
"00:26:9f*","Private","","",""
"00:26:99*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:26:8c*","StarLeaf Ltd.","Chaston House, Mill Court","Cambridge    CB22 5LD","GB"
"00:26:92*","Mitsubishi Electric Co.","2-7-3 Marunouchi","Chiyoda-ku  Tokyo  100-8310","JP"
"00:26:86*","Quantenna Communcations, Inc.","3450 W. Warren Ave.","Fremont  CA  94538","US"
"00:26:80*","SIL3 Pty.Ltd","Factory 10","DANDENONG  VICTORIA  3175","AU"
"00:26:7f*","Zenterio AB","Diskettgatan 11B","Linköping    58335","SE"
"00:26:7a*","wuhan hongxin telecommunication technologies co.,ltd","No.5 Donxin Road,Wuhan East Lake High-Tech Development Zone","Wuhan  Hubei  430073","CN"
"00:25:d6*","The Kroger Co.","11450 Grooms Road","Blue Ash  OH  45242","US"
"00:25:ca*","LS Research, LLC","W66 N220 Commerce Court","Cedarburg  WI  53012","US"
"00:25:cf*","Nokia Danmark A/S","Frederikskaj","Copenhagen V    DK-1790","DK"
"00:25:d0*","Nokia Danmark A/S","Frederikskaj","Copenhagen V    DK-1790","DK"
"00:25:c3*","Nortel Networks","CARRETERA BASE AEREA # 5850","Zapopan  Jalisco  44130","MX"
"00:25:be*","Tektrap Systems Inc.","15 Buteau St.","Gatineau  Quebec  J8Z 1V4","CA"
"00:25:bd*","Italdata Ingegneria dell'Idea S.p.A.","viale Eroi di Cefalonia 123","Roma    00128","IT"
"00:25:b7*","Costar  electronics, inc.,","3fl,-1 no 13,lane 120,nei-hu road sec.1,","Taipei    114","TW"
"00:24:6f*","Onda Communication spa","via del lavoro 9","pordenone    33170","IT"
"00:24:6a*","Solid Year Co., Ltd.","2F-1, No. 94, Bao-chung Road,","Hsin-tien City  Taipei Hsien  23147","TW"
"00:24:63*","Phybridge Inc","3495 Laird Rd","Mississauga  Ontario  L5L5S5","CA"
"00:24:56*","2Wire","1764 Automation Parkway","San Jose  CA  95131","US"
"00:24:59*","ABB Automation products GmbH","Eppelheimer Strasse 82","Heidelberg    69123","DE"
"00:24:5e*","Hivision Co.,ltd","2201-2202, COFCO Property Tower,","Shenzhen  Guangdong  518101","CN"
"00:24:51*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:24:4c*","Solartron Metrology Ltd","Steyning Way","Bognor Regis  West Sussex  PO20 9ST","GB"
"00:23:de*","Ansync Inc.","4970 Robert J Matthews Pky","El Dorado Hills  CA  95762","US"
"00:23:d1*","TRG","Wisma Kosgoro 13th Floor","Jakarta Pusat    10350","ID"
"00:23:cb*","Shenzhen Full-join Technology Co.,Ltd","9/F,No.1,Xinrui Road,Hourui ,Xixiang Town, Bao'an District","ShenZhen  GuangDong  518000","CN"
"00:23:d2*","Inhand Electronics, Inc.","30 West Gude Drive","Rockville  Maryland  20850","US"
"00:23:d7*","Samsung Electronics","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"00:23:c5*","Radiation Safety and Control Services Inc","91 Portsmouth Ave","Stratham  New Hampshire  03885","US"
"00:23:c4*","Lux Lumen","Kernenergiestraat 53A","Wilrijk  Antwerp  2610","BE"
"00:23:b8*","Sichuan Jiuzhou Electronic Technology Co.,Ltd","No.259 Jiuzhou Road,","Mianyang  Sichuan  621000","CN"
"00:23:bf*","Mainpine, Inc.","PO Box 241","Wilsonville  Oregon  97070-0241","US"
"00:24:f0*","Seanodes","Batiment Platon","Colomiers    31770","FR"
"00:24:e9*","Samsung Electronics Co., Ltd., Storage System Division","416, Maetan 3Dong, Yeongtong-Gu","Suwon City  Geyonggi Do  443-742","KR"
"00:24:eb*","ClearPath Networks, Inc.","1940 E. Mariposa Ave","El Segundo  CA  90245","US"
"00:24:e4*","Withings","37bis rue du General Leclerc","Issy les Moulineaux    92442","FR"
"00:24:dd*","Centrak, Inc.","207 Penns Trail","Newtown  PA  18940","US"
"00:24:d8*","IlSung Precision","182-2, Jegi-ri, Jeongnam-myeon","Hwanseong-si  Gyeonggi-do  445-964","KR"
"00:24:cc*","Fascinations Toys and Gifts, Inc.","19224 Des Moines Way S","Seattle  Washington  98148","US"
"00:24:d1*","Thomson Inc.","101 West 103rd Street","Indianapolis  IN  46290","US"
"00:24:ca*","Tobii Technology AB","Karlsrovägen 2D","Danderyd    18253","SE"
"00:24:c5*","Meridian Audio Limited","11 Latham Road","Huntingdon  Cambs  PE29 6YE","GB"
"00:24:a1*","ARRIS Group, Inc.","3871 Lakefield Drive","Suwanee  GA  30024","US"
"00:24:9c*","Bimeng Comunication System Co. Ltd","Level 16/f, Tower B,Sinotrans Plaza,No.43, Xi Zhi Men Northern Road,Hai dian District","Beijing    100044","CN"
"00:24:89*","Vodafone Omnitel N.V.","Via Jervis 13","10015  Ivrea  Torino","IT"
"00:24:8e*","Infoware ZRt.","Huseg u. 10/a","Budapest    1223","HU"
"00:24:90*","Samsung Electronics Co.,LTD","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"00:24:95*","ARRIS Group, Inc.","3871 Lakefield Drive","Suwanee  GA  30024","US"
"00:24:7b*","Actiontec Electronics, Inc","760 North Mary Ave","Sunnyvale  CA  94085","US"
"00:24:7d*","Nokia Danmark A/S","Frederikskaj","Copenhagen V    DK-1790","DK"
"00:24:82*","Ruckus Wireless","880 West Maude Ave.","Sunnyvale  CA  94085","US"
"00:24:76*","TAP.tv","16w361 South Frontage Road","Burr Ridge  IL  60527","US"
"00:24:45*","CommScope Canada Inc.","8400 Boul. Du Golf","Montreal  Quebec  H1J 3A1","CA"
"00:24:3f*","Storwize, Inc.","11 Alatlef St.","Yehud    56216","IL"
"00:24:40*","Halo Monitoring, Inc.","515 Sparkman Dr.","Huntsville  AL  35816","US"
"00:24:3b*","CSSI (S) Pte Ltd","70 Bendemeer Road Unit 04-04","339940","SG"
"00:24:35*","WIDE CORPORATION","LEADERS TOWER 7TH FL., GOMAE-DONG, GIHEUNG-GU","YONGIN  GYEONGGI  446-901","KR"
"00:24:2f*","Micron","8000 S Federal Way","Boise  ID  83716","US"
"00:24:2b*","Hon Hai Precision Ind.Co.,Ltd.","No.2,2nd DONGHUAN Road,10Th YouSong","ShenZhen  GuangDong  518109","CN"
"00:24:2c*","Hon Hai Precision Ind. Co., Ltd.","No.2, 2nd DONGHUAN Road,10Th YouSong","ShenZhen  GuangDong  518109","CN"
"00:24:1f*","DCT-Delta GmbH","Bodanrückstraße 1","Bodman - Ludwigshafen  Baden-Württemberg  78351","DE"
